,index,y
977,2018-09-04,
978,2018-09-05,
979,2018-09-06,
980,2018-09-07,
981,2018-09-08,
982,2018-09-09,
983,2018-09-10,
984,2018-09-11,
985,2018-09-12,
986,2018-09-13,
987,2018-09-14,
988,2018-09-15,
989,2018-09-16,
990,2018-09-17,
991,2018-09-18,
992,2018-09-19,
993,2018-09-20,
994,2018-09-21,
995,2018-09-22,
996,2018-09-23,
997,2018-09-24,
998,2018-09-25,
999,2018-09-26,
1000,2018-09-27,
1001,2018-09-28,
1002,2018-09-29,
1003,2018-09-30,
1004,2018-10-01,
1005,2018-10-02,
1006,2018-10-03,
1007,2018-10-04,
1008,2018-10-05,
1009,2018-10-06,
1010,2018-10-07,
1011,2018-10-08,
1012,2018-10-09,
1013,2018-10-10,
1014,2018-10-11,
1015,2018-10-12,
1016,2018-10-13,
1017,2018-10-14,
1018,2018-10-15,
1019,2018-10-16,
1020,2018-10-17,
1021,2018-10-18,
1022,2018-10-19,
1023,2018-10-20,
1024,2018-10-21,
1025,2018-10-22,
1026,2018-10-23,
1027,2018-10-24,
1028,2018-10-25,
1029,2018-10-26,
1030,2018-10-27,
1031,2018-10-28,
1032,2018-10-29,
1033,2018-10-30,
1034,2018-10-31,
1035,2018-11-01,
1036,2018-11-02,
1037,2018-11-03,
1038,2018-11-04,
1039,2018-11-05,
1040,2018-11-06,
1041,2018-11-07,
1042,2018-11-08,
1043,2018-11-09,
1044,2018-11-10,
1045,2018-11-11,
1046,2018-11-12,
1047,2018-11-13,
1048,2018-11-14,
1049,2018-11-15,
1050,2018-11-16,
1051,2018-11-17,
1052,2018-11-18,
1053,2018-11-19,
1054,2018-11-20,
1055,2018-11-21,
1056,2018-11-22,
1057,2018-11-23,
1058,2018-11-24,
1059,2018-11-25,
1060,2018-11-26,
1061,2018-11-27,
1062,2018-11-28,
1063,2018-11-29,
1064,2018-11-30,
1065,2018-12-01,
1066,2018-12-02,
1067,2018-12-03,
1068,2018-12-04,
1069,2018-12-05,
1070,2018-12-06,
1071,2018-12-07,
1072,2018-12-08,
1073,2018-12-09,
1074,2018-12-10,
1075,2018-12-11,
1076,2018-12-12,
1077,2018-12-13,
1078,2018-12-14,
1079,2018-12-15,
1080,2018-12-16,
1081,2018-12-17,
1082,2018-12-18,
1083,2018-12-19,
1084,2018-12-20,
1085,2018-12-21,
1086,2018-12-22,
1087,2018-12-23,
1088,2018-12-24,
1089,2018-12-25,
1090,2018-12-26,
1091,2018-12-27,
1092,2018-12-28,
1093,2018-12-29,
1094,2018-12-30,
1095,2018-12-31,
1096,2019-01-01,
1097,2019-01-02,
1098,2019-01-03,
1099,2019-01-04,
1100,2019-01-05,
1101,2019-01-06,
1102,2019-01-07,
1103,2019-01-08,
1104,2019-01-09,
1105,2019-01-10,
1106,2019-01-11,
1107,2019-01-12,
1108,2019-01-13,
1109,2019-01-14,
1110,2019-01-15,
1111,2019-01-16,
1112,2019-01-17,
1113,2019-01-18,
1114,2019-01-19,
1115,2019-01-20,
1116,2019-01-21,
1117,2019-01-22,
1118,2019-01-23,
1119,2019-01-24,
1120,2019-01-25,
1121,2019-01-26,
1122,2019-01-27,
1123,2019-01-28,
1124,2019-01-29,
1125,2019-01-30,
1126,2019-01-31,
1127,2019-02-01,
1128,2019-02-02,
1129,2019-02-03,
1130,2019-02-04,
1131,2019-02-05,
1132,2019-02-06,
1133,2019-02-07,
1134,2019-02-08,
